得;dé, děi, de;[en] obtain | must | (complement particle)
自信;zìxìn;вера в себя, самоуверенный, самоуверенность;自信心 [zìxìnxīn] — самоуверенность
吃惊;chījīng;испугаться, перепугаться;
熟悉;shúxī;хорошо знать;
按照;ànzhào;согласно, по, в соответствии с;按照计划 [ànzhào jìhuà] — в соответствии с планом, по плану
世纪;shìjì;век, столетие;
回忆;huíyì;вспоминать, воспоминание;回忆录 [huíyìlù] — мемуары, воспоминания
相同;xiāngtóng;одинаковый, тождественный, идентичный;
重点;zhòngdiǎn;ключевой пункт, главное звено;
教育;jiàoyù;просвещение, образование;高等教育 [gāoděng jiàoyù] — высшее образование; 义务教育 [yìwù jiàoyù] — обязательное обучение
受不了;shòubuliǎo;невыносимый, в высшей степени тяжёлый;这十几年的苦真够他受不了的 страдания этих последних десяти с лишним лет были для него в высшей степени тяжёлыми
皮肤;pífū;кожа, кожный покров;皮肤病 [pífūbìng] — кожные болезни
区别;qūbié;различать, отличать, различие, отличие;
左右;zuǒyòu;левая и правая сторона, справа и слева, приблизительно, около;
阳光;yángguāng;солнечный свет, солнечные лучи;
页;yè;страница, лист;两页 [liǎng yè] — две страницы
文章;wénzhāng;статья, сочинение;
语言;yǔyán;язык, речь, языковый;
标准;biāozhǔn;стандарт, норма, критерий, стандартный, нормативный;符合标准 [fúhé biāozhǔn] — соответствовать стандарту [норме]; 标准音 [biāozhǔnyīn] — нормативное [литературное] произношение
管理;guǎnlǐ;управлять, заведовать, ведать, управление;
误会;wùhuì;неправильно понять, недоразумение;
桥;qiáo;мост;石桥 [shíqiáo] — каменный мост; 过桥 [guò qiáo] — пройти [проехать] через мост
举行;jǔxíng;проводить, устраивать;举行会谈 [jǔxíng huìtǎn] — вести переговоры; 举行宴会 [jǔxíng yànhuì] — устроить банкет
肚子;dùzi;живот, брюхо;肚子痛 [dùzi tòng] — живот болит; 腿肚子 [tuǐdùzi] — икры (ног)
不仅;bùjǐn;не только;
饼干;bǐnggān;печенье, бисквит;
国际;guójì;международный, интернациональный;国际形势 [guójì xíngshì] — международное положение
信心;xìnxīn;уверенность, чувство уверенности, вера;
抬;tái;поднять, повысить;抬价 [táijià] — поднять [повысить] цену; 抬头 [táitóu] — поднять голову
竞争;jìngzhēng;конкурировать, соперничать, конкуренция;竞争力 [jìngzhēnglì] — конкурентоспособность
汤;tāng;суп;红甜菜汤 [hóngtiáncàitāng] — борщ
作家;zuòjiā;[en] author; writer
诚实;chéngshí;честный, правдивый, честно, правдиво;
顾客;gùkè;покупатель, клиент;顾客之上 [gùkè zhīshàng] — покупатель всегда прав
存;cún;существовать, жить, хранить, отдавать на хранение;存亡 [cún wáng] — жить или погибнуть, жизнь или смерть; 把钱存在银行里 [bǎ qián cún zài yínhángli] — хранить деньги в банке
香;xiāng;ароматный, душистый;香花 [xiānghuā] — душистые цветы; 我吃得真香 [wǒ chīde zhēn xiāng] — я очень вкусно поел
打扮;dǎban;наряд, одежда;
交流;jiāoliú;обмениваться (напр., опытом);
年龄;niánlíng;возраст;
小说;xiǎoshuō;беллетристика, повесть, рассказ, роман;
符合;fúhé;соответствовать, совпадать, отвечать чему-либо;符合原则 [fúhé yuánzé] — соответствовать принципам; 符合原文 [fúhé yuánwén] — совпадать с оригиналом
交通;jiāotōng;связь, сообщение, коммуникации, пути сообщения, движение;交通工具 [jiāotōng gōngjù] — средства транспорта [связи]
共同;gòngtóng;совместный, общий, совместно, сообща;共同市场 [gòngtóng shìcháng] — общий рынок
稍微;shāowēi;немного, немножко, чуть;
增加;zēngjiā;увеличить(ся), повысить(ся), возрасти;
敲;qiāo;стучать, колотить, бить;敲门 [qiāo mén] — стучать в дверь; 钟敲了两下儿 [zhōng qiāole liǎng xiàr] — часы пробили два
适应;shìyìng;соответствовать, отвечать чему-либо, применяться, приспосабливаться;
苦;kǔ;горький, горечь;苦味 [kǔwèi] — горький вкус, горечь; 这药很苦 [zhè yào hěn kǔ] — это лекарство очень горькое
辛苦;xīnkǔ;упорно трудиться, в поте лица, не щадя сил;
然而;rán’ér;но, однако;
耐心;nàixīn;терпеливый, терпеливо, терпение;
将来;jiānglái;будущий, в будущем, будущее;
沙发;shāfā;диван, софа;
最好;zuìhǎo;самый хороший, лучший, наилучший;
禁止;jìnzhǐ;запрещать, воспрещать, запрещение, запрет;禁止吸烟 [jìnzhǐ xīyān] — курить воспрещается
经济;jīngjì;экономика, хозяйство, экономический;
座位;zuòwèi;место, сиденье;让座位 [ràng zuòwèi] — уступить место
购物;gòuwù;коммерция, шоппинг;
抽烟;chōuyān;курить, курение;我不抽烟 [wǒ bù chōuyān] — я не курю, я не курящий
航班;hángbān;самолёт, рейс (по расписанию);
礼貌;lǐmào;вежливость, приличия, вежливый;没礼貌 [méi lǐmào] — невежливый, быть невежливым; 有礼貌 [yǒu lǐmào] — быть вежливым, вежливый
提前;tíqián;досрочно, раньше установленного срока;
判断;pànduàn;определять, решать, определение, решение;
胳膊;gēbo;рука (от плеча до запястья);胳膊腕子 [gēbo wànzi] — запястье; 胳膊肘儿 [gēbozhǒur] — локоть
整理;zhěnglǐ;привести в порядок, навести порядок, упорядочить;
森林;sēnlín;лес, лесной;
同情;tóngqíng;сочувствовать, симпатизировать, сочувствие, симпатия;
网站;wǎngzhàn;веб-сайт;
商量;shāngliáng;обсуждать, советоваться;
眼镜;yǎnjìng;очки;
镜子;jìngzi;зеркало;
广播;guǎngbō;радиовещание, передавать по радио;广播电台 [guǎngbō diàntái] — (широковещательная) радиостанция
专门;zhuānmén;специальный, специально;
弹钢琴;tán gāngqín;играть на пианино;
尝;cháng;попробовать на вкус, отведать;尝尽苦头 [chángjìn kǔtou] — испить до дна чашу страданий
流行;liúxíng;популярный, бытующий, обиходный;
材料;cáiliào;материал;建筑材料 [jiànzhù cáiliào] — строительные материалы
对话;duìhuà;диалог;
详细;xiángxì;подробный, детальный;
随着;suízhe;по мере, вслед за;随着形势的发展 [suízhe xíngshìde fāzhǎn] — по мере развития ситуации
降落;jiàngluò;спускаться, падать, совершить посадку;
功夫;gōngfu;Кунг-фу (китайское единоборство), труд, работа;
严格;yángé;строгий, строго;严格说来 [yángé shuōlái] — строго говоря; 严格要求 [yángé yāoqiú] — строго требовать
日记;rìjì;дневник;记日记 [jì rìjì] — вести дневник; 日记本 [rìjìběn] — дневник
偶尔;ǒu’ěr;иногда, время от времени, по временам;
实际;shíjì;реальный, фактический, реальность, действительность;实际行动 [shíjì xíngdòng] — реальные действия; 实际工资 [shíjì gōngzī] — реальная заработная плата
友好;yǒuhǎo;близкие друзья, дружба, дружить;
相反;xiāngfǎn;противоположный, противоположность, напротив, наоборот;
大夫;dàifu;доктор, врач;
友谊;yǒuyì;дружба, дружеский;友谊赛 [yǒuyìsài] — дружеская встреча
准确;zhǔnquè;точный, правильный;准确性 [zhǔnquèxìng] — точность
平时;píngshí;обычно, в обычное время, обычный, будничный;
对面;duìmiàn;напротив, против, навстречу;
脾气;píqi;характер, нрав, норов;坏脾气 [huài píqi] — плохой характер; 有脾气的人 [yǒupíqide rén] — вспыльчивый [раздражительный] человек
价格;jiàgé;цена;
性格;xìnggé;характер, натура;
鼓励;gǔlì;воодушевлять, ободрять, поощрять;
及时;jíshí;вовремя, своевременно;
迷路;mílu;сбиться с пути, заблудиться;
棵;kē;сч. сл. для деревьев;一棵树 [yīkē shū] — одно дерево
理想;lǐxiǎng;идеал, идеалы, идеальный;
工资;gōngzī;заработная плата;
散步;sànbù;прогуливаться, гулять;
只好;zhǐhǎo;остаётся лишь…, ничего не остаётся, как…;
感动;gǎndòng;растрогаться, расчувствоваться;
知识;zhīshi;знания, познания;
难受;nánshòu;трудно вынести, невозможно вытерпеть;热得难受 [rède nánshòu] — нестерпимо жарко
奖金;jiǎngjīn;денежная награда, премия, премиальные;
幽默;yōumò;юмор, юмористический;
孙子;sūnzi;внук;
汗;hàn;пот, испарина;出汗 [chūhàn] — потеть
收入;shōurù;доход, поступления (денежные);个人收入 [gèrén shōurù] — личный доход
酸;suān;кислый, прокиснуть;酸白菜 [suān báicài] — кислая [квашеная] капуста
公里;gōnglǐ;километр;
害羞;hàixiū;стыдиться, смущаться, конфузиться;
基础;jīchǔ;основа, база, фундамент, устои;基础研究 [jīchǔ yánjiū] — фундаментальные исследования; 基础工业 [jīchǔ gōngyè] — ключевые отрасли промышленности
准时;zhǔnshí;вовремя, в установленное время;
积极;jījí;активный, активно;
富;fù;богатый, разбогатеть;富户 [fùhù] — богатый дом [двор]
力气;lìqi;физическая сила;
入口;rùkǒu;ввозить, импортировать, вход, подъезд;
袜子;wàzi;чулки, носки;
烦恼;fánnǎo;быть удручённым, огорчения, неприятности;
举办;jǔbàn;создать, организовать, основать;举办展览会 [jǔbàn zhǎnlǎnhuì] — организовать выставку
修理;xiūlǐ;ремонтировать, чинить, исправлять, ремонт, починка;修理费 [xiūlǐfèi] — плата за ремонт [за починку]
减少;jiǎnshǎo;уменьшать, сокращать;
亲戚;qīnqi;родные, родственники, родня;
参观;cānguān;совершать экскурсию, посещать, осматривать;
丰富;fēngfù;богатый, обильный, обилие;
果汁;guǒzhī;фруктовый сок;
毛巾;máojīn;махровое полотенце;
作者;zuòzhě;автор;
海洋;hǎiyáng;моря и океаны, морской;
批评;pīpíng;критиковать, критика;批评家 [pīpíngjiā] — критик
排队;páiduì;стоять в очереди;
例如;lìrú;например;
植物;zhíwù;растение, растительный;植物油 [zhíwùyóu] — растительное масло
穷;qióng;бедный, нищий, иссякать, кончаться;穷国 [qióngguó] — бедная страна; 无穷 (无尽) [wúqióng (wújìn)] — неиссякаемый, неисчерпаемый, неистощимый
家具;jiāju;мебель, утварь;
盐;yán;соль;
温度;wēndù;температура;
数量;shùliàng;количество;
逛;guàng;прогуливаться, прохаживаться, гулять, шоппинг;逛街头 [guàng jiētóu] — прогуливаться по улицам
厚;hòu;толстый (о плоских предметах);厚纸 [hòuzhǐ] — толстая бумага
亚洲;yàzhōu;Азия, азиатский;
来不及;láibují;не успеть;
师傅;shīfu;мастер, наставник;
污染;wūrǎn;загрязнять, загрязнение;环境污染 [huánjìng wūrǎn] — загрязнение окружающей среды
来得及;láidejí;успеть;
减肥;jiǎnféi;худеть, похудание;减肥热 [jiǎnféirè] — мода на похудание
客厅;kètīng;гостиная;
缺少;quēshǎo;недоставать, не хватать, недостающий, недостаток, нехватка, уменьшенный;
老虎;lǎohǔ;тигр;
降低;jiàngdī;снизить(ся), понизить(ся), снижение, понижение;
云;yún;облако, туча;
质量;zhìliàng;качество, качественный, масса;
学期;xuéqī;семестр;
卫生间;wèishēngjiān;ванная и туалет, санузел;
网球;wǎngqiú;теннисный мяч, теннис;
其次;qícì;затем, потом, далее, следующий, во-вторых;
打招呼;dǎ zhāohu;здороваться, приветствовать кого-либо;
表格;biǎogé;бланк, форма;
阅读;yuèdú;читать, чтение;
信封;xìnfēng;конверт;
顺序;shùnxù;порядок, очередь;
放暑假;fàngshǔjià;уходить на летние каникулы;
乘坐;chéngzuò;сидеть верхом;
重视;zhòngshì;придавать важное значение, ценить, уделять внимание;
推迟;tuīchí;отсрочить, отложить;
缺点;quēdiǎn;недостаток, изъян, дефект;
加油站;jiāyóuzhàn;бензозаправочная станция;
首都;shǒudū;столица;
羡慕;xiànmù;завидовать, зависть;
零钱;língqián;мелочь, мелкие деньги;
暖和;nuǎnhuo;тёплый, тепло, теплеть;
懒;lǎn;ленивый, лениться;他太懒 [tā tài lǎn] — он слишком ленив
出差;chūchāi;командировка, ехать в командировку;他出差去了 [tā chūchāi qùle] — он уехал в командировку
民族;mínzú;нация, национальность, национальный;民族自决 [mínzú zìjué] — национальное самоопределение; 少数民族 [shǎoshù mínzú] — национальные меньшинства
传真;chuánzhēn;факс;传真机 [chuánzhēnjī] — факсимильный аппарат; 发传真 [fá chuánzhēn] — послать факс
优点;yōudiǎn;достоинство, преимущество, плюс;
垃圾桶;lājītǒng;мусорное ведро;
加班;jiābān;работать сверхурочно, сверхурочная работа;
房东;fángdōng;домохозяин, домовладелец;
按时;ànshí;вовремя, своевременно;
葡萄;pútao;виноград;葡萄酒 [pútaojiǔ] — виноградное вино
往往;wǎngwǎng;сплошь и рядом, часто, постоянно;
高速公路;gāosù gōnglù;скоростное шоссе, скоростная дорога, автобан;
得意;déyì;довольный, быть довольным, самодовольный;
特点;tèdiǎn;особенность, своеобразие, специфика;
合格;hégé;соответствовать стандарту [норме], отвечать требованиям;合格证 [hégézhèng] — сертификат качества
性别;xìngbié;пол, половые различия;
报名;bàomíng;записаться, зарегистрироваться;
互联网;hùliánwǎng;Интернет;
景色;jǐngsè;живописный пейзаж, красоты природы;
大使馆;dàshǐguǎn;посольство;
总结;zǒngjié;обобщать, подводить итог;
热闹;rènao;оживлённый, людный, шумный;
郊区;jiāoqū;пригород, пригородные районы, предместье;
咳嗽;késou;кашлять, кашель;
签证;qiānzhèng;визировать, виза;入境签证 [rùjìng qiānzhèng] — въездная виза
咸;xián;солёный;咸鱼 [xiányú] — солёная рыба
打印;dǎyìn;печать, печатание;
活泼;huópo;живой, бойкий, подвижный;
邮局;yóujú;почта;
牙膏;yágāo;зубная паста;
气候;qìhòu;погода, климат;
勺子;sháozi;ложка;
付款;fùkuǎn;выплачивать (деньги), уплатить, заплатить, платёж;付款人 [fùkuǎnrén] — плательщик
理发;lǐfà;стричься, причёсываться, стрижка, причёсывание;
复印;fùyìn;размножать, копировать;复印机 [fùyìnjī] — множительный аппарат, ксерокс
词语;cíyǔ;обороты речи, выражения;方言词语 [fāngyán cíyǔ] — диалектизм
表扬;biǎoyáng;отмечать, поощрять;
打针;dǎzhēn;сделать укол;
普遍;pǔbiàn;всеобщий, универсальный, распространённый;普遍裁军 [pǔbiàn cáijūn] — всеобщее разоружение
堵车;dǔchē;автомобильная пробка, затор;
叶子;yèzi;лист, листва;
打折;dǎzhé;сделать скидку;
排列;páiliè;расставлять [ставить] по порядку;
凉快;liángkuai;прохладный, прохладно;
塑料袋;sùliàodài;полиэтиленовый пакет;
导游;dǎoyóu;гид, экскурсовод;导游图 [dǎoyóutú] — путеводитель, туристическая карта
小吃;xiǎochī;закуски, холодные блюда;
西红柿;xīhóngshì;помидор, томат;
招聘;zhāopìn;приглашать, нанимать (на работу);
节约;jiéyuē;экономить, беречь, экономия, бережливость;
硕士;shuòshì;магистр;
乒乓球;pīngpāngqiú;настольный теннис, пинг-понг;乒乓球拍 [pīngpāngqiúpāi] — ракетка для игры в настольный теннис
积累;jīlěi;накапливать, накопление;
橡皮;xiàngpí;резина, резиновый;
应聘;yìngpìn;принять приглашение;
矿泉水;kuàngquánshuǐ;минеральная вода;
长城;chángchéng;Великая китайская стена;
语法;yǔfǎ;грамматика, грамматический;
礼拜天;lǐbàitiān;воскресенье;
饺子;jiǎozi;пельмени;
国籍;guójí;гражданство, подданство;双重国籍 [shuāngchóng guójí] — двойное гражданство
售货员;shòuhuòyuán;продавец;无售货员商店 магазин без продавца, магазин самообслуживания
翻译;fānyì;переводить, перевод;
流利;liúlì;бегло, свободно (напр., читать, писать);
粗心;cūxīn;небрежный, небрежно, невнимательно;
养成;yǎngchéng;выработать, привить (напр., привычку);
马虎;mǎhu;небрежный, халатный, небрежно, спустя рукава, как попало;
百分之;bǎifēnzhī;[en] percent
普通话;pǔtōnghuà;путунхуа;
登机牌;dēngjīpái;посадочный талон;
占线;zhànxiàn;занято (о телефонной линии);
包子;bāozi;паровые пирожки;肉包子 [ròu bāozi] — пирожок с мясом
羽毛球;yǔmáoqiú;бадминтон;
烤鸭;kǎoyā;жареная утка;北京烤鸭 жареная утка по-пекински
寒假;hánjià;зимние каникулы;
长江;chángjiāng;река Чанцзян [Янцзы];
预习;yùxí;предварительное ознакомление с материалом;
填空;tiánkōng;занять вакансию, заполнять пустые места;
京剧;jīngjù;пекинская музыкальная драма;
